Level,HP No Armor,HP Medium Armor,HP Heavy Armor,Damage Per Round,Attack Sample Dice,Save DC,CR Equivalent
0.25,12,9,7,3,1d4+1,9,0.125
0.33,15,11,8,5,1d6+2,9,0.25
0.5,18,15,11,7,1d6+3,10,0.25
1,26,20,16,11,"2d8+2 or (2x) 1d8+1",10,0.5
2,34,27,20,13,"2d8+4 or (2x) 1d8+3",11,1
3,41,33,25,15,"2d8+6 or (2x) 1d8+4",11,1
4,49,39,29,18,"2d8+9 or (2x) 1d8+5",12,2
5,58,46,35,19,"2d8+10 or (2x) 1d8+6",12,2
6,68,54,41,21,"2d8+12 or (2x) 1d8+7",13,3
7,79,63,47,24,"3d8+10 or (2x) 2d8+4",13,3
8,91,73,55,26,"3d8+12 or (2x) 2d8+5",14,4
9,104,83,62,28,"4d8+10 or (2x) 2d8+6",14,4
10,118,94,71,30,"4d8+12 or (2x) 2d8+7",15,5
11,133,106,80,33,"5d8+11 or (2x) 3d8+3",15,6
12,149,119,89,35,"5d8+13 or (2x) 3d8+4",16,7
13,166,132,100,38,"6d8+11 or (2x) 3d8+6",16,8
14,184,147,110,40,"6d8+13 or (2x) 3d8+7",17,9
15,203,162,122,43,"7d8+11 or (2x) 3d8+8",17,9
16,223,178,134,45,"7d8+13 or (2x) 4d8+5",18,10
17,244,195,146,48,"8d8+12 or (2x) 4d8+6",18,11
18,266,213,160,50,"8d8+14 or (2x) 4d8+7",19,12
19,289,231,173,52,"9d8+12 or (2x) 4d8+8",19,13
20,313,250,189,54,"9d8+13 or (2x) 4d8+9",20,14
